epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,281220,0.88774,0.63231,1.03947,0.95242,0.89975,0.95558,0.81116,0.62325,0.47613,0.91034,0.007888,0.007888,0.007888
66,285780,0.88101,0.6137,1.03456,0.96338,0.89914,0.96122,0.82063,0.62262,0.4549,0.91306,0.007855,0.007855,0.007855
67,290307,0.87884,0.60358,1.03379,0.92742,0.86691,0.94327,0.78814,0.65581,0.54351,0.91663,0.007822,0.007822,0.007822
68,294875,0.87366,0.60354,1.02667,0.93675,0.89102,0.95546,0.82269,0.60752,0.47229,0.90077,0.007789,0.007789,0.007789
69,299445,0.86512,0.59151,1.03115,0.94617,0.89038,0.96214,0.80376,0.65285,0.47121,0.92026,0.007756,0.007756,0.007756
70,303625,0.87017,0.60186,1.02852,0.93077,0.86264,0.93781,0.79303,0.63959,0.57412,0.90965,0.007723,0.007723,0.007723
71,307900,0.86879,0.59613,1.02884,0.95652,0.89316,0.95754,0.81713,0.60537,0.47918,0.90363,0.00769,0.00769,0.00769
72,312238,0.85047,0.60345,1.01596,0.94647,0.88538,0.95374,0.8145,0.60478,0.4993,0.89746,0.007657,0.007657,0.007657
73,316552,0.86267,0.60347,1.02071,0.9616,0.86914,0.95547,0.81602,0.61063,0.47759,0.90804,0.007624,0.007624,0.007624
74,320920,0.86562,0.5909,1.0272,0.94357,0.88945,0.95473,0.81105,0.62397,0.47236,0.91132,0.007591,0.007591,0.007591
75,325270,0.85725,0.58761,1.02255,0.96169,0.84793,0.94916,0.8111,0.61637,0.50945,0.90714,0.007558,0.007558,0.007558
76,329647,0.85282,0.58857,1.01283,0.96507,0.89607,0.95888,0.82104,0.59704,0.45575,0.89501,0.007525,0.007525,0.007525
77,334078,0.83332,0.57854,1.00397,0.94725,0.85261,0.93295,0.78694,0.64502,0.54695,0.91711,0.007492,0.007492,0.007492
